,sectors,industries,num_observations
0,"[np.float32(4.0), np.float32(8.0)]","[np.float32(21.0), np.float32(30.0)]",749
3,[np.float32(8.0)],[np.float32(11.0)],192
4,[np.float32(3.0)],[np.float32(60.0)],751
5,[np.float32(11.0)],[np.float32(15.0)],749
6,[np.float32(8.0)],[np.float32(69.0)],546
9,[np.float32(8.0)],"[np.float32(20.0), np.float32(21.0)]",586
10,[np.float32(4.0)],[np.float32(56.0)],749
11,[np.float32(7.0)],[np.float32(8.0)],305
13,[np.float32(8.0)],[np.float32(69.0)],539
14,[np.float32(3.0)],[np.float32(60.0)],751
16,[np.float32(4.0)],[np.float32(14.0)],348
17,[np.float32(4.0)],[np.float32(30.0)],480
18,[np.float32(4.0)],[np.float32(30.0)],750
20,[np.float32(1.0)],[np.float32(48.0)],745
21,[np.float32(4.0)],[np.float32(10.0)],745
23,[np.float32(7.0)],[np.float32(38.0)],749
24,[np.float32(7.0)],[np.float32(38.0)],744
27,[np.float32(11.0)],[np.float32(64.0)],577
28,[np.float32(11.0)],[np.float32(62.0)],519
29,[np.float32(11.0)],[np.float32(15.0)],748
31,[np.float32(4.0)],[np.float32(14.0)],308
32,[np.float32(11.0)],[np.float32(64.0)],750
33,[np.float32(11.0)],[np.float32(62.0)],750
34,[np.float32(4.0)],[np.float32(3.0)],749
35,[np.float32(4.0)],[np.float32(14.0)],749
36,"[np.float32(2.0), np.float32(7.0)]","[np.float32(1.0), np.float32(18.0)]",740
37,[np.float32(11.0)],[np.float32(64.0)],749
40,[np.float32(12.0)],[np.float32(19.0)],747
42,[np.float32(11.0)],[np.float32(62.0)],417
43,[np.float32(8.0)],[np.float32(21.0)],428
44,[np.float32(7.0)],[np.float32(38.0)],546
45,[np.float32(1.0)],[np.float32(48.0)],747
46,[np.float32(3.0)],[np.float32(60.0)],744
47,[np.float32(12.0)],[np.float32(19.0)],748
48,[np.float32(12.0)],[np.float32(19.0)],742
53,[np.float32(7.0)],[np.float32(38.0)],737
54,[np.float32(7.0)],[np.float32(38.0)],745
55,[np.float32(1.0)],[np.float32(48.0)],737
56,[np.float32(8.0)],[np.float32(45.0)],749
57,[np.float32(4.0)],[np.float32(10.0)],23
58,[np.float32(7.0)],[np.float32(38.0)],25
60,[np.float32(7.0)],[np.float32(38.0)],528
65,[np.float32(4.0)],[np.float32(30.0)],22
66,[np.float32(4.0)],[np.float32(14.0)],749
67,[np.float32(7.0)],[np.float32(38.0)],746
72,[np.float32(8.0)],[np.float32(45.0)],325
74,[np.float32(7.0)],[np.float32(38.0)],750
75,[np.float32(7.0)],[np.float32(38.0)],750
76,[np.float32(11.0)],[np.float32(64.0)],749
79,[np.float32(1.0)],[np.float32(12.0)],750
80,[np.float32(12.0)],[np.float32(19.0)],271
81,[np.float32(8.0)],[np.float32(69.0)],630
82,[np.float32(4.0)],[np.float32(30.0)],751
84,[np.float32(3.0)],[np.float32(4.0)],747
85,[np.float32(4.0)],[np.float32(56.0)],734
86,[np.float32(7.0)],[np.float32(38.0)],749
87,[np.float32(4.0)],[np.float32(10.0)],750
93,[np.float32(3.0)],[np.float32(7.0)],749
94,[np.float32(4.0)],[np.float32(10.0)],102
96,[np.float32(11.0)],[np.float32(62.0)],751
97,[np.float32(11.0)],[np.float32(62.0)],749
98,[np.float32(8.0)],[np.float32(20.0)],748
99,[np.float32(4.0)],[np.float32(31.0)],745
100,[np.float32(7.0)],[np.float32(18.0)],750
101,[np.float32(4.0)],[np.float32(10.0)],751
102,[np.float32(11.0)],[np.float32(62.0)],605
104,[np.float32(7.0)],[np.float32(18.0)],751
106,[np.float32(4.0)],[np.float32(10.0)],104
113,[np.float32(2.0)],[np.float32(39.0)],749
114,[np.float32(3.0)],[np.float32(60.0)],750
116,[np.float32(4.0)],[np.float32(3.0)],53
117,[np.float32(3.0)],[np.float32(60.0)],744
120,[np.float32(11.0)],[np.float32(64.0)],750
124,[np.float32(8.0)],[np.float32(49.0)],748
125,[np.float32(6.0)],[np.float32(53.0)],39
127,[np.float32(1.0)],[np.float32(12.0)],751
128,[np.float32(8.0)],[np.float32(21.0)],748
130,[np.float32(4.0)],[np.float32(10.0)],15
133,[np.float32(7.0)],[np.float32(40.0)],732
138,[np.float32(4.0)],[np.float32(10.0)],298
144,[np.float32(8.0)],[np.float32(21.0)],748
145,[np.float32(4.0)],[np.float32(10.0)],748
146,[np.float32(7.0)],[np.float32(8.0)],739
148,"[np.float32(4.0), np.float32(11.0)]","[np.float32(14.0), np.float32(15.0)]",613
154,[np.float32(4.0)],[np.float32(10.0)],153
155,[np.float32(1.0)],[np.float32(41.0)],747
158,[np.float32(12.0)],[np.float32(28.0)],750
160,[np.float32(8.0)],[np.float32(55.0)],744
161,[np.float32(4.0)],[np.float32(30.0)],144
163,[np.float32(11.0)],[np.float32(64.0)],678
165,[np.float32(1.0)],[np.float32(48.0)],677
170,[np.float32(1.0)],[np.float32(48.0)],295
171,[np.float32(12.0)],[np.float32(19.0)],403
173,[np.float32(4.0)],"[np.float32(10.0), np.float32(56.0)]",750
176,[np.float32(8.0)],[np.float32(21.0)],746
177,[np.float32(4.0)],[np.float32(35.0)],748
181,[np.float32(7.0)],[np.float32(18.0)],751
183,[np.float32(7.0)],[np.float32(38.0)],719
184,[np.float32(8.0)],[np.float32(20.0)],748
185,[np.float32(4.0)],[np.float32(56.0)],745
186,[np.float32(3.0)],[np.float32(60.0)],751
187,[np.float32(11.0)],[np.float32(64.0)],343
189,[np.float32(8.0)],[np.float32(2.0)],749
190,[np.float32(7.0)],[np.float32(8.0)],748
191,[np.float32(7.0)],[np.float32(58.0)],714
194,[np.float32(4.0)],[np.float32(30.0)],748
195,[np.float32(3.0)],[np.float32(60.0)],17
198,[np.float32(1.0)],[np.float32(48.0)],259
199,[np.float32(7.0)],[np.float32(8.0)],747
201,[np.float32(3.0)],[np.float32(60.0)],750
202,[np.float32(3.0)],[np.float32(42.0)],750
203,[np.float32(2.0)],[np.float32(66.0)],745
204,[np.float32(4.0)],[np.float32(14.0)],337
207,[np.float32(4.0)],[np.float32(10.0)],659
208,[np.float32(7.0)],[np.float32(8.0)],727
210,[np.float32(8.0)],[np.float32(20.0)],257
211,[np.float32(3.0)],[np.float32(42.0)],81
